series_id,year,period,value
JTU23000000JOL   ,2010,M01,55
JTU23000000JOL   ,2010,M02,66
JTU23000000JOL   ,2010,M03,75
JTU23000000JOL   ,2010,M04,98
JTU23000000JOL   ,2010,M05,85
JTU23000000JOL   ,2010,M06,82
JTU23000000JOL   ,2010,M07,107
JTU23000000JOL   ,2010,M08,59
JTU23000000JOL   ,2010,M09,80
JTU23000000JOL   ,2010,M10,73
JTU23000000JOL   ,2010,M11,64
JTU23000000JOL   ,2010,M12,32
JTU23000000JOL   ,2011,M01,61
JTU23000000JOL   ,2011,M02,45
JTU23000000JOL   ,2011,M03,65
JTU23000000JOL   ,2011,M04,113
JTU23000000JOL   ,2011,M05,103
JTU23000000JOL   ,2011,M06,64
JTU23000000JOL   ,2011,M07,85
JTU23000000JOL   ,2011,M08,104
JTU23000000JOL   ,2011,M09,84
JTU23000000JOL   ,2011,M10,73
JTU23000000JOL   ,2011,M11,60
JTU23000000JOL   ,2011,M12,45
JTU23000000JOL   ,2012,M01,74
JTU23000000JOL   ,2012,M02,66
JTU23000000JOL   ,2012,M03,94
JTU23000000JOL   ,2012,M04,86
JTU23000000JOL   ,2012,M05,80
JTU23000000JOL   ,2012,M06,80
JTU23000000JOL   ,2012,M07,78
JTU23000000JOL   ,2012,M08,82
JTU23000000JOL   ,2012,M09,90
JTU23000000JOL   ,2012,M10,104
JTU23000000JOL   ,2012,M11,76
JTU23000000JOL   ,2012,M12,61
JTU23000000JOL   ,2013,M01,100
JTU23000000JOL   ,2013,M02,108
JTU30000000JOL   ,2010,M01,143
JTU30000000JOL   ,2010,M02,162
JTU30000000JOL   ,2010,M03,151
JTU30000000JOL   ,2010,M04,183
JTU30000000JOL   ,2010,M05,193
JTU30000000JOL   ,2010,M06,204
JTU30000000JOL   ,2010,M07,252
JTU30000000JOL   ,2010,M08,187
JTU30000000JOL   ,2010,M09,188
JTU30000000JOL   ,2010,M10,205
JTU30000000JOL   ,2010,M11,191
JTU30000000JOL   ,2010,M12,173
JTU30000000JOL   ,2011,M01,215
JTU30000000JOL   ,2011,M02,216
JTU30000000JOL   ,2011,M03,223
JTU30000000JOL   ,2011,M04,236
JTU30000000JOL   ,2011,M05,217
JTU30000000JOL   ,2011,M06,214
JTU30000000JOL   ,2011,M07,261
JTU30000000JOL   ,2011,M08,240
JTU30000000JOL   ,2011,M09,246
JTU30000000JOL   ,2011,M10,228
JTU30000000JOL   ,2011,M11,201
JTU30000000JOL   ,2011,M12,231
JTU30000000JOL   ,2012,M01,248
JTU30000000JOL   ,2012,M02,254
JTU30000000JOL   ,2012,M03,324
JTU30000000JOL   ,2012,M04,268
JTU30000000JOL   ,2012,M05,315
JTU30000000JOL   ,2012,M06,323
JTU30000000JOL   ,2012,M07,304
JTU30000000JOL   ,2012,M08,260
JTU30000000JOL   ,2012,M09,245
JTU30000000JOL   ,2012,M10,265
JTU30000000JOL   ,2012,M11,237
JTU30000000JOL   ,2012,M12,214
JTU30000000JOL   ,2013,M01,249
JTU30000000JOL   ,2013,M02,254
JTU51000000JOL   ,2010,M01,111
JTU51000000JOL   ,2010,M02,73
JTU51000000JOL   ,2010,M03,51
JTU51000000JOL   ,2010,M04,87
JTU51000000JOL   ,2010,M05,77
JTU51000000JOL   ,2010,M06,56
JTU51000000JOL   ,2010,M07,107
JTU51000000JOL   ,2010,M08,92
JTU51000000JOL   ,2010,M09,60
JTU51000000JOL   ,2010,M10,75
JTU51000000JOL   ,2010,M11,77
JTU51000000JOL   ,2010,M12,70
JTU51000000JOL   ,2011,M01,114
JTU51000000JOL   ,2011,M02,65
JTU51000000JOL   ,2011,M03,108
JTU51000000JOL   ,2011,M04,107
JTU51000000JOL   ,2011,M05,95
JTU51000000JOL   ,2011,M06,96
JTU51000000JOL   ,2011,M07,106
JTU51000000JOL   ,2011,M08,105
JTU51000000JOL   ,2011,M09,133
JTU51000000JOL   ,2011,M10,120
JTU51000000JOL   ,2011,M11,100
JTU51000000JOL   ,2011,M12,103
JTU51000000JOL   ,2012,M01,83
JTU51000000JOL   ,2012,M02,89
JTU51000000JOL   ,2012,M03,101
JTU51000000JOL   ,2012,M04,111
JTU51000000JOL   ,2012,M05,76
JTU51000000JOL   ,2012,M06,106
JTU51000000JOL   ,2012,M07,88
JTU51000000JOL   ,2012,M08,122
JTU51000000JOL   ,2012,M09,106
JTU51000000JOL   ,2012,M10,105
JTU51000000JOL   ,2012,M11,101
JTU51000000JOL   ,2012,M12,80
JTU51000000JOL   ,2013,M01,94
JTU51000000JOL   ,2013,M02,88
JTU51009900JOL   ,2010,M01,205
JTU51009900JOL   ,2010,M02,141
JTU51009900JOL   ,2010,M03,149
JTU51009900JOL   ,2010,M04,249
JTU51009900JOL   ,2010,M05,207
JTU51009900JOL   ,2010,M06,190
JTU51009900JOL   ,2010,M07,226
JTU51009900JOL   ,2010,M08,234
JTU51009900JOL   ,2010,M09,220
JTU51009900JOL   ,2010,M10,271
JTU51009900JOL   ,2010,M11,226
JTU51009900JOL   ,2010,M12,184
JTU51009900JOL   ,2011,M01,272
JTU51009900JOL   ,2011,M02,183
JTU51009900JOL   ,2011,M03,201
JTU51009900JOL   ,2011,M04,246
JTU51009900JOL   ,2011,M05,186
JTU51009900JOL   ,2011,M06,215
JTU51009900JOL   ,2011,M07,223
JTU51009900JOL   ,2011,M08,183
JTU51009900JOL   ,2011,M09,177
JTU51009900JOL   ,2011,M10,233
JTU51009900JOL   ,2011,M11,154
JTU51009900JOL   ,2011,M12,168
JTU51009900JOL   ,2012,M01,251
JTU51009900JOL   ,2012,M02,169
JTU51009900JOL   ,2012,M03,234
JTU51009900JOL   ,2012,M04,242
JTU51009900JOL   ,2012,M05,228
JTU51009900JOL   ,2012,M06,230
JTU51009900JOL   ,2012,M07,249
JTU51009900JOL   ,2012,M08,260
JTU51009900JOL   ,2012,M09,280
JTU51009900JOL   ,2012,M10,287
JTU51009900JOL   ,2012,M11,215
JTU51009900JOL   ,2012,M12,233
JTU51009900JOL   ,2013,M01,255
JTU51009900JOL   ,2013,M02,305
JTU52000000JOL   ,2010,M01,171
JTU52000000JOL   ,2010,M02,112
JTU52000000JOL   ,2010,M03,133
JTU52000000JOL   ,2010,M04,209
JTU52000000JOL   ,2010,M05,171
JTU52000000JOL   ,2010,M06,153
JTU52000000JOL   ,2010,M07,198
JTU52000000JOL   ,2010,M08,175
JTU52000000JOL   ,2010,M09,194
JTU52000000JOL   ,2010,M10,229
JTU52000000JOL   ,2010,M11,191
JTU52000000JOL   ,2010,M12,162
JTU52000000JOL   ,2011,M01,235
JTU52000000JOL   ,2011,M02,151
JTU52000000JOL   ,2011,M03,170
JTU52000000JOL   ,2011,M04,179
JTU52000000JOL   ,2011,M05,147
JTU52000000JOL   ,2011,M06,176
JTU52000000JOL   ,2011,M07,168
JTU52000000JOL   ,2011,M08,135
JTU52000000JOL   ,2011,M09,144
JTU52000000JOL   ,2011,M10,172
JTU52000000JOL   ,2011,M11,120
JTU52000000JOL   ,2011,M12,149
JTU52000000JOL   ,2012,M01,174
JTU52000000JOL   ,2012,M02,123
JTU52000000JOL   ,2012,M03,189
JTU52000000JOL   ,2012,M04,195
JTU52000000JOL   ,2012,M05,171
JTU52000000JOL   ,2012,M06,176
JTU52000000JOL   ,2012,M07,177
JTU52000000JOL   ,2012,M08,201
JTU52000000JOL   ,2012,M09,219
JTU52000000JOL   ,2012,M10,225
JTU52000000JOL   ,2012,M11,174
JTU52000000JOL   ,2012,M12,170
JTU52000000JOL   ,2013,M01,179
JTU52000000JOL   ,2013,M02,244
JTU54009900JOL   ,2010,M01,499
JTU54009900JOL   ,2010,M02,384
JTU54009900JOL   ,2010,M03,373
JTU54009900JOL   ,2010,M04,545
JTU54009900JOL   ,2010,M05,548
JTU54009900JOL   ,2010,M06,449
JTU54009900JOL   ,2010,M07,551
JTU54009900JOL   ,2010,M08,606
JTU54009900JOL   ,2010,M09,550
JTU54009900JOL   ,2010,M10,648
JTU54009900JOL   ,2010,M11,651
JTU54009900JOL   ,2010,M12,541
JTU54009900JOL   ,2011,M01,544
JTU54009900JOL   ,2011,M02,580
JTU54009900JOL   ,2011,M03,569
JTU54009900JOL   ,2011,M04,582
JTU54009900JOL   ,2011,M05,537
JTU54009900JOL   ,2011,M06,582
JTU54009900JOL   ,2011,M07,716
JTU54009900JOL   ,2011,M08,606
JTU54009900JOL   ,2011,M09,696
JTU54009900JOL   ,2011,M10,643
JTU54009900JOL   ,2011,M11,456
JTU54009900JOL   ,2011,M12,556
JTU54009900JOL   ,2012,M01,789
JTU54009900JOL   ,2012,M02,640
JTU54009900JOL   ,2012,M03,758
JTU54009900JOL   ,2012,M04,692
JTU54009900JOL   ,2012,M05,731
JTU54009900JOL   ,2012,M06,716
JTU54009900JOL   ,2012,M07,665
JTU54009900JOL   ,2012,M08,729
JTU54009900JOL   ,2012,M09,599
JTU54009900JOL   ,2012,M10,709
JTU54009900JOL   ,2012,M11,582
JTU54009900JOL   ,2012,M12,505
JTU54009900JOL   ,2013,M01,800
JTU54009900JOL   ,2013,M02,708
