id,tweet,class
2,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/KbbUWRzchH,u
3,Start playing Paradise Island on Android http://t.co/0VMUD8kuWs #Android #Androidgames #Gameinsight http://t.co/YBqQ6tCs1E,u
9,I've just received an achievement: Subsidizer http://t.co/PTOx1VCh83 #Android #Androidgames #Gameinsight,u
11,Just reached level 17 on Paradise Island on my Android http://t.co/bKNfQuMpRs #Android #Androidgames #Gameinsight,u
12,@BrandonMiniman Even WinAmp Android app plays that track on first run!,p
14,I have completed the quest 'Build several patc...' in the #Android game The Tribez. http://t.co/oEwphQG786 #androidgames  #gameinsight,u
100,E Ink Android Phone Lasts a Week  Weighs Next to Nothing http://t.co/c1AVNOBUr4,n
102,Start playing Paradise Island on Android http://t.co/0VMUD8kuWs #Android #Androidgames #Gameinsight http://t.co/gIJCXOzo5b,u
105,I've harvested 150 of food! http://t.co/qcH6SGVts7 #android  #androidgames  #gameinsight,u
110,@Aim_LEGEND @iambabadivision nope just plain twitter for Android,u
111,#Twitter won't help. A @KarlRove virus called Bot2 has made it impossible for me to ever use #Tcot without an #Android crash. Bye,n
120,@dcorsetto @choochoobear  I've got no problems reading your sites from my android phone.,p
125,Worst mood. Fuck this shit. Need to get my shit together and get out of this battery hen android place.,n
126,@tap4fun What's going on with Spartan Wars on Android  for the past day it will not load and says server is in maintenance? #spartanwars,n
129,#facebook  why is your android app so crap? Always crashing? I'd use the browser but you take up half the screen telling me about the app.,n
131,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/c01iqTNjo7,u
159,I have completed the quest 'Visit the Island o...' in the #Android game The Tribez. http://t.co/oEwphQG786 #androidgames  #gameinsight,u
160,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/Sjoy4WTLTk,u
161,Michael Ealy has been cast in J.H. Wyman's &amp;??J.J. Abrams' futuristic cop series as Dorian  the android partner of LAPD officer John Kennex.,u
163,I have Carnival Platform on my island! Now my island is even more awesome! http://t.co/MtgwkSwQ4H #android  #androidgames  #gameinsight,u
178,"Watered-down Budweiser? Pick up a real beer instead - http://t.co/F2iMv8PXAT

 - sent from my Android phone with Guardian Anywhere",p
182,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/NMKHiasr1H,u
184,I got 186 576 points while escaping from demon monkeys in @TempleRun for Android. Beat that! http://t.co/nrPkrFvWdl,u
185,"New 2 class ""??uisines of the world"" award received! 84 http://t.co/I4im0A9IE8 #android #gameinsight #androidgames",u
186,I've harvested 1 007 of food! http://t.co/MC9kfOBEAr #android  #androidgames  #gameinsight,u
193,I've harvested 120 of food! http://t.co/Yx1IUt4JeH #android  #androidgames  #gameinsight,u
194,I've collected 708 gold coins! http://t.co/evQvpqyRPv #android  #androidgames  #gameinsight,u
195,But i can see emojis on my android..... lol,p
197,I've collected 23 667 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight,u
199,I've collected 49 742 gold coins! http://t.co/2Li24yZm1I #android  #androidgames  #gameinsight,u
201,I've harvested 668 of food! http://t.co/qcH6SGVts7 #android  #androidgames  #gameinsight,u
204,Start playing Paradise Island on Android http://t.co/0VMUD8kuWs #Android #Androidgames #Gameinsight http://t.co/jiGNLnUpKd,u
205,I swur this Android is too valuable,p
218,I've collected 55 000 gold coins! http://t.co/2Li24yZm1I #android  #androidgames  #gameinsight,u
219,I've just received an achievement: Beauty connoisseur http://t.co/HfgQslWnFu #Android #Androidgames #Gameinsight,u
220,I've harvested 1 840 of food! http://t.co/3fNskGOk2P #android  #androidgames  #gameinsight,u
221,I've collected 37 075 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight,u
222,I've collected 7 710 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight,u
239,I've harvested 258 of food! http://t.co/38ZpdBQRtG #android  #androidgames  #gameinsight,u
240,I've earned a new achievement: `Digger`. Try to beat me in the #Android game The Tribez! http://t.co/7nRLbhaQwl #androidgames  #gameinsight,u
241,I've collected 2 200 gold coins! http://t.co/f9qO6sQPrX #android  #androidgames  #gameinsight,u
242,I have Wide Road on my island! Now my island is even more awesome! http://t.co/WAxppUKiFQ #android  #androidgames  #gameinsight,u
249,I have completed the quest 'Dino`s Lair.' in the #Android game The Tribez. http://t.co/YmTZFOg5Jm #androidgames  #gameinsight,u
250,The grateful residents of Mayor's country have been saved! http://t.co/3PRfRERBHz #Android #AndroidGames #gameinsight,u
266,I've collected 320 gold coins! http://t.co/W5IpOwzvir #android  #androidgames  #gameinsight,u
268,I have completed the quest 'New  wide roads.' in the #Android game The Tribez. http://t.co/c29xGyvgG1 #androidgames  #gameinsight,u
269,I've collected 6 120 gold coins! http://t.co/OE1ZyiJUPk #android  #androidgames  #gameinsight,u
270,I've harvested 1 613 of food! http://t.co/3fNskGOk2P #android  #androidgames  #gameinsight,u
272,I've collected 1 107 gold coins! http://t.co/Y5dX5hNKIP #android  #androidgames  #gameinsight,u
276,The Tribez is a great game! Try to become a tribal leader! http://t.co/VGQrfikMPZ #android  #androidgames  #gameinsight,u
277,I have completed the quest 'Build 2 Huts.' in the #Android game The Tribez. http://t.co/1KXoDZ1X1A #androidgames  #gameinsight,u
279,I've collected 23 218 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight,u
293,Start playing Paradise Island on Android http://t.co/2njfk4B8ce #Android #Androidgames #Gameinsight http://t.co/a9U2VciJAw,u
295,I've collected 19 886 gold coins! http://t.co/OZ6ajPiQH9 #android  #androidgames  #gameinsight,u
298,I've collected 636 gold coins! http://t.co/Ru848FsyWp #android  #androidgames  #gameinsight,u
299,Start playing Paradise Island on Android http://t.co/2njfk4B8ce #Android #Androidgames #Gameinsight http://t.co/8L2W9c4qYr,u
300,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/JdjqNlRP3o,u
301,I have completed the quest 'Produce Cut Marble.' in the #Android game The Tribez. http://t.co/hQ55y9yA8W #androidgames  #gameinsight,u
302,I've collected 8 130 gold coins! http://t.co/f9qO6sQPrX #android  #androidgames  #gameinsight,u
320,I've collected 13 660 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight,u
328,I've harvested 947 of food! http://t.co/nZRMz9m5Ob #android  #androidgames  #gameinsight,u
329,I've collected 4 462 gold coins! http://t.co/A6VEmTs6wy #android  #androidgames  #gameinsight,u
330,I've harvested 67 of food! http://t.co/o9DOVra56E #android  #androidgames  #gameinsight,u
333,Start playing Paradise Island on Android http://t.co/2njfk4B8ce #Android #Androidgames #Gameinsight http://t.co/AXkd7uqjnx,u
355,I've collected 16 375 gold coins! http://t.co/A6VEmTs6wy #android  #androidgames  #gameinsight,u
356,I've collected 11 190 gold coins! http://t.co/OZ6ajPiQH9 #android  #androidgames  #gameinsight,u
359,@KickUpOrShutup dumb ass android keyboard  cut me some slack,n
360,I've collected 575 gold coins! http://t.co/wQ2ZRUM5lm #android  #androidgames  #gameinsight,u
363,I've harvested 353 of food! http://t.co/o9DOVra56E #android  #androidgames  #gameinsight,u
364,@choochoobear if it's any consolation  I get no warnings from Android browser  even though that's kinda Chrome.,n
365,I've harvested 450 of food! http://t.co/7JJYjeLlGx #android  #androidgames  #gameinsight,u
366,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/rE3os7T8Fu,u
373,@dcorsetto my android device gets it just fine ;-),p
374,My phone was just gon be dead until I found somebody in conference with an android charger.,p
375,"The ""Heavy machinery"" collection in Big Business has been completed! 81 http://t.co/I4im0A9IE8 #android #gameinsight #androidgames",u
376,"New 2 class ""??uisines of the world"" award received! 78 http://t.co/I4im0A9IE8 #android #gameinsight #androidgames",u
378,I have completed the quest 'Safe stone mining.' in the #Android game The Tribez. http://t.co/c29xGyvgG1 #androidgames  #gameinsight,u
380,I've harvested 240 of food! http://t.co/e5pgOGEZaQ #android  #androidgames  #gameinsight,u
382,Start playing Paradise Island on Android http://t.co/TIQpEZhk3Q #Android #Androidgames #Gameinsight http://t.co/Msb4W5orhx,u
385,I got 212 208 points while escaping from demon monkeys in @TempleRun for Android. Beat that! http://t.co/nrPkrFvWdl,u
393,I've collected 3 665 gold coins! http://t.co/wQ2ZRUM5lm #android  #androidgames  #gameinsight,u
394,Sonic Dash confirmed  and it's an endless runner. If it's anything like Temple Run (and on Android!) I will rejoice.,p
395,I've harvested 370 of food! http://t.co/ltnaQADZMG #android  #androidgames  #gameinsight,u
396,@jorelizlang @mcchernandez How the heck do I do that on a Motorola android??,n
397,I've collected 182 gold coins! http://t.co/MmUKTZVJpA #android  #androidgames  #gameinsight,u
400,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/EZjZUlFhlc,u
403,I've harvested 50 of food! http://t.co/9WOFPsnXWA #android  #androidgames  #gameinsight,u
404,I have Carnival Platform on my island! Now my island is even more awesome! http://t.co/nqgpGNApAN #android  #androidgames  #gameinsight,u
405,I've collected 180 gold coins! http://t.co/ImEBDQ5Tbq #android  #androidgames  #gameinsight,u
406,I've collected 12 410 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight,u
418,JABODETABEK android gathering | 10 march 2013 | lapangan futsal monas | 12 P.M till die | Android development &amp; Games | see you there guys!,u
420,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/frtgXwfSH1,u
423,I've harvested 25 of food! http://t.co/kbXelSU0T3 #android  #androidgames  #gameinsight,u
430,I've harvested 300 of food! http://t.co/HLZDLCsv9n #android  #androidgames  #gameinsight,u
439,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/YLO0ZK4nyT,u
440,I've collected 23 900 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight,u
442,I've collected 21 917 gold coins! http://t.co/f9qO6sQPrX #android  #androidgames  #gameinsight,u
445,I've earned a new achievement: `Bather`. Try to beat me in the #Android game The Tribez! http://t.co/lgH59eUEqx #androidgames  #gameinsight,u
446,I've collected 40 970 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight,u
459,"The ""Bonsai"" collection in Big Business has been completed! 10 http://t.co/esbJGenIwD #android #gameinsight #androidgames",u
461,I've collected 23 455 gold coins! http://t.co/f9qO6sQPrX #android  #androidgames  #gameinsight,u
469,Start playing Paradise Island on Android http://t.co/am3fUnvVwt #Android #Androidgames #Gameinsight http://t.co/Jp2ajrHiEz,u
476,back to twitter for android,p
478,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/WdclfIRWE9,u
480,I've harvested 1 103 of food! http://t.co/t7ctiGfYJ7 #android  #androidgames  #gameinsight,u
481,I've harvested 433 of food! http://t.co/MCIpjahJQ8 #android  #androidgames  #gameinsight,u
483,I've collected 676 gold coins! http://t.co/6xK7Kuuwid #android  #androidgames  #gameinsight,u
484,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/8mhmEGb8yV,u
487,I've collected 41 295 gold coins! http://t.co/OE1ZyiJUPk #android  #androidgames  #gameinsight,u
499,I've collected 55 160 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight,u
501,I have completed the quest 'Upgrading the Anci...' in the #Android game The Tribez. http://t.co/MDCemMmrl8 #androidgames  #gameinsight,u
504,I've just received an achievement: Capitalist http://t.co/ri8RyR2ZnA #Android #Androidgames #Gameinsight,u
508,I've collected 690 gold coins! http://t.co/MmUKTZVJpA #android  #androidgames  #gameinsight,u
512,Just reached level 23 on Paradise Island on my Android http://t.co/8JP42zuqMF #Android #Androidgames #Gameinsight,u
523,I've harvested 781 of food! http://t.co/UWeSJDPqHg #android  #androidgames  #gameinsight,u
525,I've collected 1 505 gold coins! http://t.co/HtULiUdXVq #android  #androidgames  #gameinsight,u
530,I've collected 45 250 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight,u
535,I've collected 24 810 gold coins! http://t.co/sH1VOrybMd #android  #androidgames  #gameinsight,u
536,I've collected 45 650 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight,u
556,I've collected 13 709 gold coins! http://t.co/oIYHbN1oCj #android  #androidgames  #gameinsight,u
559,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/bOoKg2Ilz9,u
560,I've earned a new achievement: `Fighter`. Try to beat me in the #Android game The Tribez! http://t.co/X3Sut0XTxa #androidgames  #gameinsight,u
561,"Google Glass offered for $16 000 on eBay - http://t.co/xXKpVlv2bC

 - sent from my Android phone with Guardian Anywhere",u
564,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/3ZLLfV79TB,u
568,I've collected 3 607 gold coins! http://t.co/6xK7Kuuwid #android  #androidgames  #gameinsight,u
585,I have completed the quest 'Watch the road and...' in the #Android game The Tribez. http://t.co/1KXoDZ1X1A #androidgames  #gameinsight,u
586,"The ""Service center"" collection in Big Business has been completed! 21 http://t.co/zEC6Fk2j0q #android #gameinsight #androidgames",u
587,I've just received an achievement: Responsive http://t.co/a6RiLqnraZ #Android #Androidgames #Gameinsight,u
590,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/tzqILPgmCR,u
591,I got 177 168 points while escaping from demon monkeys in @TempleRun for Android. Beat that! http://t.co/nrPkrFvWdl,u
593,I've collected 120 gold coins! http://t.co/W5IpOwzvir #android  #androidgames  #gameinsight,u
615,"The ""Gas station"" collection in Big Business has been completed! 20 http://t.co/zEC6Fk2j0q #android #gameinsight #androidgames",u
617,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/zhthcLB7a0,u
618,I've collected 16 642 gold coins! http://t.co/sH1VOrybMd #android  #androidgames  #gameinsight,u
620,I've collected 13 140 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight,u
632,Finally twitter on my android phone!,p
633,I've harvested 310 of food! http://t.co/kuRztGjzSE #android  #androidgames  #gameinsight,u
634,I've collected 4 008 gold coins! http://t.co/0Iu2F6umEs #android  #androidgames  #gameinsight,u
635,Start playing Paradise Island on Android http://t.co/HEMpoRKkIx #Android #Androidgames #Gameinsight http://t.co/wzyTqGrIka,u
636,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/AqJ4DnMfsi,u
637,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/jl1GAsVQoL,u
638,I have Fence on my island! Now my island is even more awesome! http://t.co/SjyQjFQskd #android  #androidgames  #gameinsight,u
640,I have Forester`s Hut on my island! Now my island is even more awesome! http://t.co/OlUD2sqoOD #android  #androidgames  #gameinsight,u
641,I've earned a new achievement: `Lord`. Try to beat me in the #Android game The Tribez! http://t.co/U6BTPq93IJ #androidgames  #gameinsight,u
642,I've harvested 1 025 of food! http://t.co/yLqQAltxdE #android  #androidgames  #gameinsight,u
643,I have reached level 25 in The Tribez! Join in and try to overtake me! http://t.co/bNk0GKFBpR #android  #androidgames  #gameinsight,u
644,"The ""Sushi"" collection in Big Business has been completed! 35 http://t.co/zEC6Fk2j0q #android #gameinsight #androidgames",u
658,The Tribez is a great game! Try to become a tribal leader! http://t.co/W8zYXwQIeE #android  #androidgames  #gameinsight,u
659,I've collected 14 122 gold coins! http://t.co/A6VEmTs6wy #android  #androidgames  #gameinsight,u
660,I have completed the quest 'Complete tutorial.' in the #Android game The Tribez. http://t.co/6ORSmEwg3T #androidgames  #gameinsight,u
