tweettopic,class
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
Android,negative
Android,positive
Android,neutral
Android,positive
Android,neutral
Android,positive
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,negative
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,negative
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,positive
Android,negative
Android,negative
Android,neutral
Android,negative
Android,negative
Android,negative
Android,neutral
Android,negative
Android,positive
Android,positive
Android,negative
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,positive
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,positive
Android,neutral
Android,negative
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,positive
Android,neutral
Android,positive
Android,positive
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android_BB,neutral
Android_BB,positive
Android_BB,positive
Android_BB,positive
Android_BB,positive
Android_BB,positive
Android_BB,positive
Android_BB,negative
Android_BB,positive
Android_BB,neutral
Android_BB,positive
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,negative
Android_iOS,negative
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,positive
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,negative
Android_iOS,neutral
Android_iOS,negative
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,negative
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,positive
Android_iOS,positive
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,negative
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,negative
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,positive
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,positive
Android_iOS,neutral
Android_iOS,negative
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,positive
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,positive
Android_iOS,positive
Android_iOS,positive
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,positive
Android_iOS,neutral
Android_iOS,negative
Android_iOS,positive
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,positive
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS,neutral
Android_iOS_BB,negative
Android_iOS_BB,neutral
Android_iOS_BB,neutral
Android_iOS_WindowsPhone,neutral
Android_iOS_WindowsPhone,neutral
Blackberry,negative
Blackberry,negative
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,positive
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,positive
Blackberry,positive
Blackberry,positive
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,positive
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,positive
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,positive
Blackberry,positive
Blackberry,positive
Blackberry,neutral
Blackberry,positive
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,positive
Blackberry,negative
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,positive
Blackberry,negative
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,positive
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,negative
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,negative
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,negative
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,negative
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,positive
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,positive
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,negative
Blackberry,positive
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,positive
Blackberry,negative
Blackberry,neutral
Blackberry,negative
Blackberry,negative
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,negative
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,positive
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
iOS,neutral
iOS,positive
iOS,positive
iOS,positive
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,positive
iOS,negative
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,negative
iOS,neutral
iOS,negative
iOS,negative
iOS,neutral
iOS,negative
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,negative
iOS,negative
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,negative
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,negative
iOS,neutral
iOS,negative
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,negative
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,negative
iOS,neutral
iOS,neutral
iOS,negative
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,negative
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,negative
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,positive
iOS,negative
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,negative
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,negative
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,negative
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
iOS,neutral
iOS,positive
iOS_BB,neutral
iOS_BB,negative
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,negative
iOS_BB,neutral
iOS_BB,negative
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,negative
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,negative
iOS_BB,neutral
iOS_BB,positive
iOS_BB,neutral
iOS_BB,negative
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,positive
iOS_BB,positive
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,negative
iOS_BB,neutral
iOS_BB,positive
iOS_BB,positive
iOS_BB,positive
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,negative
iOS_BB,positive
iOS_BB,neutral
iOS_BB,positive
iOS_BB,positive
iOS_BB,negative
iOS_BB,positive
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,negative
iOS_BB,neutral
iOS_BB,positive
iOS_BB,negative
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,positive
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,positive
iOS_BB,negative
iOS_BB,neutral
iOS_BB,positive
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,positive
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,neutral
iOS_BB,neutral
WindowsPhone,neutral
WindowsPhone,positive
WindowsPhone,neutral
