,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic,class
358,fiekayusri,Thu  28 Feb 2013 08:07:10 +0000,Twitter for BlackBerry??,0,"Sir Hasni got lost along the Android presentation. We were explaining to him and he said  ""I feel old now"". LOL",424,47084,0,263,BlackBerry,Android,positive
613,mindchishiki,Thu  28 Feb 2013 08:12:34 +0000,Twitter for BlackBerry??,0,I'm glad I have an android phone that I use daily. This phone is just a spare phone... The keyboard is just very nice,0,12,0,0,BlackBerry,Android,positive
896,Fa6ume,Thu  28 Feb 2013 08:17:40 +0000,Twitter for BlackBerry??,0,@TupaczLeydii check your settings from the android itself,477,19696,0,110,BlackBerry,Android,neutral
996,gideonsango,Thu  28 Feb 2013 08:19:31 +0000,Twitter for BlackBerry??,0,"""@TheVainVillain: We all have that one friend that we believe without a doubt is part android."" I got a full one :x",130,516,1,115,BlackBerry,Android,positive
1022,Symbolliemdu,Thu  28 Feb 2013 08:20:04 +0000,UberSocial for BlackBerry,0,"Android Market RT @KapanduH: Uuuhmmm  guys  whats the Android ""App Store"" called? #Twoogle",383,18240,2,141,BlackBerry,Android,neutral
1040,kvindm,Thu  28 Feb 2013 08:20:33 +0000,Twitter for BlackBerry??,0,Real Racing 3 disponibile per #android nel Google Play Store: http://t.co/wgmo7OiRu3 #GiochiAndroid,126,3104,0,359,BlackBerry,Android,neutral
1946,Tendaijoe,Thu  28 Feb 2013 08:38:26 +0000,UberSocial for BlackBerry,0,#MobileFunFact 700 000 new Android phones are activated each day  which is way more than the number of babies being born today.,13104,168484,274,3972,BlackBerry,Android,positive
2766,Official_HBL,Thu  28 Feb 2013 08:53:26 +0000,Twitter for BlackBerry??,0,Di jual MITO A300 &gt;android ice cream sandwich n dual core  dual sim card ,237,3555,0,234,BlackBerry,Android,positive
3110,krisnaked,Thu  28 Feb 2013 09:00:05 +0000,Twitter for BlackBerry??,0,@bubbletea1006_ android rite?,578,66682,0,737,BlackBerry,Android,neutral
3194,suiker_bumz,Thu  28 Feb 2013 09:01:49 +0000,Twitter for BlackBerry??,0,Android JellyBean  is just too good in this life :),237,2043,0,234,BlackBerry,Android,positive
3391,MisLongLegs,Thu  28 Feb 2013 09:05:54 +0000,Twitter for BlackBerry??,0,@nobel_norryn Not really. I jst luv android n warid doesn't hv BIS. Hate switching lines,311,9774,1,307,BlackBerry,Android,positive
3439,MissHopeM,Thu  28 Feb 2013 09:06:40 +0000,UberSocial for BlackBerry,0,RT @Tendaijoe #MobileFunFact 700 000 new Android phones are activated each day which is way more than the number of babies being born today.,871,45969,12,542,BlackBerry,Android,positive
3466,Mizz0kafor,Thu  28 Feb 2013 09:07:12 +0000,Twitter for BlackBerry??,0,@maaiss I'm gettin an android,348,7476,3,461,BlackBerry,Android,positive
3486,Salako_Fish,Thu  28 Feb 2013 09:07:52 +0000,Twitter for BlackBerry??,0,Join the future  Use android!,161,2486,0,231,BlackBerry,Android,positive
3804,Salako_Fish,Thu  28 Feb 2013 09:13:57 +0000,Twitter for BlackBerry??,0,"BB is ok but exchange your ipad for a samsung or Google device""@OlaosunD: {Gerrat. Use BB} RT @Salako_Fish: Join the future  Use android!""",161,2489,0,231,BlackBerry,Android,positive
3940,SamerMElChami,Thu  28 Feb 2013 09:17:14 +0000,Twitter for BlackBerry??,0,Google Quietly Adds Google Settings App to Android Devices http://t.co/0OMxcZ2MwG,149,4757,0,919,BlackBerry,Android,neutral
4034,TheLionMint,Thu  28 Feb 2013 09:18:26 +0000,Twitter for BlackBerry??,0,If Safaricom decides to cancel BIS  I will get that android phone the following day.,2941,99909,16,750,BlackBerry,Android,positive
4147,LindoTaughtYou,Thu  28 Feb 2013 09:21:00 +0000,UberSocial for BlackBerry,0,Ubersocial for android?,535,9204,2,401,BlackBerry,Android,neutral
4154,iamflaev,Thu  28 Feb 2013 09:20:49 +0000,Twitter for BlackBerry??,0,"That's the end of BB RT ""@TheLionMint: If Safaricom decides to cancel BIS  I will get that android phone the following day.""",1214,31003,4,441,BlackBerry,Android,positive
4175,velvet_spring,Thu  28 Feb 2013 09:21:31 +0000,Twitter for BlackBerry??,0,"I need infos about the cheapest samsung android handphone =.=""",179,18080,2,136,BlackBerry,Android,positive
4204,Deta_dRd,Thu  28 Feb 2013 09:21:51 +0000,Twitter for BlackBerry??,0,@jjane575 umm...I think u have whatssapp aplication in ur android  I wanna join with u there~,154,7238,1,237,BlackBerry,Android,positive
4268,_Smiley_Pebbles,Thu  28 Feb 2013 09:23:16 +0000,Twitter for BlackBerry??,0,"That's what they are planning???:( ""@TheLionMint: If Safaricom decides to cancel BIS  I will get that android phone the following day.""",464,12040,1,429,BlackBerry,Android,neutral
4942,kyle_thomson,Thu  28 Feb 2013 09:36:07 +0000,Twitter for BlackBerry??,0,Phones connected to some android internet randomly.. Stealing some cunts internet me. #SucksToBeThem,485,4832,0,491,BlackBerry,Android,neutral
5122,sinofshine,Thu  28 Feb 2013 09:39:54 +0000,UberSocial for BlackBerry,0,RT @Agahigh: RT @Adhit_Android: Our musical taste takes part of our personality,632,19747,1,788,BlackBerry,Android,neutral
5158,asfadzmin,Thu  28 Feb 2013 09:40:48 +0000,UberSocial for BlackBerry,0,Android jellybitch,264,20606,0,638,BlackBerry,Android,negative
5444,Khalistio_Akbar,Thu  28 Feb 2013 09:46:43 +0000,Twitter for BlackBerry??,0,"""@androids: Qualcomm and others won't be launching 8-core processors this year http://t.co/ynM3yQaeuc #android""",236,12202,0,217,BlackBerry,Android,negative
5460,Khalistio_Akbar,Thu  28 Feb 2013 09:47:14 +0000,Twitter for BlackBerry??,0,"""@androids: Google Chromebook Pixel hands-on and first impressions http://t.co/150QWERPJp #android""",236,12206,0,217,BlackBerry,Android,neutral
5461,TweetBotJunkie,Thu  28 Feb 2013 09:47:14 +0000,Twitter for BlackBerry??,0,@HoeZaay not supporting the govt in any way  but stop comparing Apple with shit. First it was android nw this.,14,253,0,19,BlackBerry,Android,negative
5468,Khalistio_Akbar,Thu  28 Feb 2013 09:47:09 +0000,Twitter for BlackBerry??,0,"""@androids: Android and Chrome: No merge in sight http://t.co/2JfznrTT4N #android""",236,12207,0,217,BlackBerry,Android,neutral
5471,Khalistio_Akbar,Thu  28 Feb 2013 09:47:05 +0000,Twitter for BlackBerry??,0,"""@androids: CAT B15 rugged smartphone hands-on: Built to last http://t.co/LE77lAZPPX #android""",236,12207,0,217,BlackBerry,Android,neutral
5490,Khalistio_Akbar,Thu  28 Feb 2013 09:47:41 +0000,Twitter for BlackBerry??,0,"""@androids: Pocket Casts 4 arrives with Holo style UI  syncing  backup and more http://t.co/SjyVwTDDEi #android""",236,12208,0,217,BlackBerry,Android,neutral
5496,Khalistio_Akbar,Thu  28 Feb 2013 09:47:33 +0000,Twitter for BlackBerry??,0,"""@androids: Yota Devices announces licensing agreement with Qualcomm http://t.co/NhKSYrbPh5 #android""",236,12208,0,217,BlackBerry,Android,neutral
5537,dysleixc,Thu  28 Feb 2013 09:48:31 +0000,Twitter for BlackBerry??,0,lol using android for FB then Twitter for BB :--) haha fucked up life~ http://t.co/ZzY0MJ6bLL,399,28188,6,73,BlackBerry,Android,neutral
5750,courtjayX,Thu  28 Feb 2013 09:52:55 +0000,Twitter for BlackBerry??,0,What's a good samsung phone apart from s2&amp;s3 that's a android?,1064,3250,1,1814,BlackBerry,Android,positive
5760,Blackberry4Less,Thu  28 Feb 2013 09:52:47 +0000,blackberry4less,0,Firefox and Tizen make a move for Android http://t.co/Ekof0J8RZK,18088,29732,84,17128,BlackBerry,Android,positive
6189,ImperialPharaoh,Thu  28 Feb 2013 10:00:22 +0000,Twitter for BlackBerry??,0,Android 17 And Trunks Had The Most Swag,57,3004,0,11,BlackBerry,Android,neutral
6341,shabeeribm,Thu  28 Feb 2013 10:03:14 +0000,UberSocial for BlackBerry,0,Samsung Knox ?€? Enterprise security for Android launched http://t.co/wmsfmrAFo1,426,9849,6,116,BlackBerry,Android,positive
6380,LedCaymaz,Thu  28 Feb 2013 10:04:22 +0000,Twitter for BlackBerry??,0,@Mr_Raif android doesn't do that? O.o,318,5842,1,386,BlackBerry,Android,negative
6410,junk9won,Thu  28 Feb 2013 10:04:45 +0000,Twitter for BlackBerry??,0,RT.@CNET: Big screens and Jelly Bean mark Android trends at Mobile World Congress http://t.co/0DonN4nXbU #MWC13 #MWC,136,7804,2,254,BlackBerry,Android,positive
6611,DeaOrtolani,Thu  28 Feb 2013 10:09:09 +0000,Twitter for BlackBerry??,0,"""@wired: Recent Top Stories: Samsung Wallet Is Just Like Passbook  But on Android http://t.co/qvCnIg4wea""",191,535,1,544,BlackBerry,Android,positive
6687,Babbstar11,Thu  28 Feb 2013 10:10:27 +0000,Twitter for BlackBerry??,0,When men lie. Its only because they are afraid of loosing the puss. (I'm not a man. I'm an android),360,19488,2,282,BlackBerry,Android,positive
6689,green_meredian,Thu  28 Feb 2013 10:10:26 +0000,Twitter for BlackBerry??,0,"The countdown for our 1st operating system for android phones has begun  ""KRET OS"" - 27th march",15,37,0,32,BlackBerry,Android,neutral
6752,_BeFriendlyBih,Thu  28 Feb 2013 10:11:50 +0000,Twitter for BlackBerry??,0,No worry my android soon work,62,4872,0,86,BlackBerry,Android,positive
6834,LuLu_iamHer,Thu  28 Feb 2013 10:13:59 +0000,Twitter for BlackBerry??,0,@SA4CATE1 with android its possible!,831,10223,2,656,BlackBerry,Android,positive
6848,MDAUD97,Thu  28 Feb 2013 10:14:32 +0000,Twitter for BlackBerry??,0,Big screens and Jelly Bean mark Android trends at Mobile World Congress http://t.co/IkhevtRydG #MWC13 #MWC,4846,2444,2,95,BlackBerry,Android,positive
6854,SexyYorubaBoy,Thu  28 Feb 2013 10:14:20 +0000,Twitter for BlackBerry??,0,I'm confused RT @stickswit: Is it Twitter for android or my network?I Cnt send dm since yesterday:(,4754,71361,2,2432,BlackBerry,Android,negative
6911,MDAUD97,Thu  28 Feb 2013 10:15:11 +0000,Twitter for BlackBerry??,0,Firefox and Tizen make a move for Android #MWC13 #MWC http://t.co/BJPUTaERDi,4846,2449,2,95,BlackBerry,Android,positive
7187,samuelgotama,Thu  28 Feb 2013 10:20:05 +0000,UberSocial for BlackBerry,0,I just downloaded The Bro Code app on my Android phone and yeahs! It is very entertaining #HIMYM #thebrocode ROTFL,328,28109,7,523,BlackBerry,Android,positive
7251,KayKamel,Thu  28 Feb 2013 10:21:29 +0000,Twitter for BlackBerry??,0,@ash_hn please advise an android specs price vendor ill get one today,165,3315,1,250,BlackBerry,Android,positive
7387,abdywardani,Thu  28 Feb 2013 10:23:54 +0000,Twitter for BlackBerry??,0,Android or bb again !,64,676,0,97,BlackBerry,Android,neutral
7457,Fajri_SP,Thu  28 Feb 2013 10:25:29 +0000,Twitter for BlackBerry??,0,"""@CNET: Big screens and Jelly Bean mark Android trends at Mobile World Congress http://t.co/2LESiwvE5p #MWC13 #MWC""",1302,7480,0,172,BlackBerry,Android,positive
7616,_Temisan_,Thu  28 Feb 2013 10:27:56 +0000,Twitter for BlackBerry??,0,Okay guys   I wanna start reading books again   android users what apps ?,1147,61519,7,621,BlackBerry,Android,neutral
7794,NatalieObi,Thu  28 Feb 2013 10:32:05 +0000,Twitter for BlackBerry??,0,Now my android phone has spoilt. Who did I offend? Why is everything suddenly going bad now??? ?????????,930,30711,4,417,BlackBerry,Android,negative
7833,medsmods,Thu  28 Feb 2013 10:32:12 +0000,Twitter for BlackBerry??,0,"Coyo e android e ""@rahmastngrm: Blow the candles out looks like it solo tonight ??? Candles by Hey Monday ?€? http://t.co/77MTWSeVhv""",530,61125,0,510,BlackBerry,Android,neutral
7894,Fagas10,Thu  28 Feb 2013 10:33:53 +0000,UberSocial for BlackBerry,0,RT @thevillanzent: Check out our mobile app for Android! http://t.co/evoCxKAIqk,65,192,1,266,BlackBerry,Android,neutral
7970,Dblackunicorn,Thu  28 Feb 2013 10:35:15 +0000,Twitter for BlackBerry??,0,@edibuff then help Android convince me by replying ur tweets soon enough! Besides i will do Lumia any day without protection even!,212,1731,0,233,BlackBerry,Android,neutral
7999,CraftBeerLondon,Thu  28 Feb 2013 10:35:36 +0000,Twitter for BlackBerry??,0,ANDROID! Ahem. Testing has gone well  so the android version of the app should be available next week ...,2603,882,46,870,BlackBerry,Android,positive
8067,senatorebby,Thu  28 Feb 2013 10:37:03 +0000,Twitter for BlackBerry??,0,@seglaw07 yes boss  u re nw a big man oooooo  na android OPs u dey use nw.,24,103,0,50,BlackBerry,Android,neutral
8090,mawewe4,Thu  28 Feb 2013 10:37:43 +0000,Twitter for BlackBerry??,0,@electricmusicsa @SamsungMobileSA #GALAXYS3 Mini may be small  but it's big enough to run Android 4.1 &amp;4.0 display familiar G -S3 design.,35,476,0,81,BlackBerry,Android,neutral
8242,CouncillorEd,Thu  28 Feb 2013 10:40:55 +0000,Twitter for BlackBerry??,0,Tomorrow I am going to buy a Galaxy Note 2. Can any Android users suggest some must have apps?,284,16382,9,159,BlackBerry,Android,positive
8324,Lizz_zzzy,Thu  28 Feb 2013 10:42:14 +0000,Twitter for BlackBerry??,0,@ChrisOfGlobe oh thanks for the info. No LTE for android? :),101,6604,4,185,BlackBerry,Android,neutral
8496,MDAUD97,Thu  28 Feb 2013 10:45:44 +0000,Twitter for BlackBerry??,0,See a new Google Settings app icon appear on your Android device? Here's what you need to know http://t.co/UGAxIVZThB,4845,2472,2,95,BlackBerry,Android,neutral
8604,meenah_faruq,Thu  28 Feb 2013 10:47:26 +0000,Twitter for BlackBerry??,0,OMG!My Android Tab jst got Stolen *rotfc *criesssss Oh Noooooo,1064,22036,10,208,BlackBerry,Android,neutral
8614,lyteyrs,Thu  28 Feb 2013 10:48:14 +0000,UberSocial for BlackBerry,0,http://t.co/fdcaNePwZp Pentagon will open network for Android in early 2014. This doesn't mean they are ... http://t.co/64bRffJXQG,73,1398,0,196,BlackBerry,Android,neutral
8616,KhairinaZafryy,Thu  28 Feb 2013 10:48:12 +0000,Twitter for BlackBerry??,0,Finally android user ???,240,4371,0,209,BlackBerry,Android,neutral
8746,meerah_yabo,Thu  28 Feb 2013 10:50:30 +0000,Twitter for BlackBerry??,0,":p ""@meenah_faruq: OMG!My Android Tab jst got Stolen *rotfc *criesssss Oh Noooooo""",1917,38004,10,196,BlackBerry,Android,neutral
8747,GadgetsKE,Thu  28 Feb 2013 10:50:26 +0000,Twitter for BlackBerry??,0,ANDROID TABLET PCS are to arrive next week. Good features and very efficient for everyone. All will be going for 15 000/-.,254,720,0,19,BlackBerry,Android,positive
8797,meerah_yabo,Thu  28 Feb 2013 10:51:17 +0000,Twitter for BlackBerry??,0,"Mine is not working:( ""@meenah_faruq: OMG!My Android Tab jst got Stolen *rotfc *criesssss Oh Noooooo""",1917,38005,10,196,BlackBerry,Android,negative
9143,TheLionMint,Thu  28 Feb 2013 10:57:58 +0000,UberSocial for BlackBerry,0,@Redhead_Rocker how is that possible? Used it and the result was awesome. Your android version?,2942,99930,16,750,BlackBerry,Android,neutral
9145,shabeeribm,Thu  28 Feb 2013 10:57:58 +0000,UberSocial for BlackBerry,0,Did you notice a Google Settings icon on your Android smartphone?,426,9861,6,116,BlackBerry,Android,neutral
9197,Im_Raks,Thu  28 Feb 2013 10:59:01 +0000,Twitter for BlackBerry??,0,@bullagepune 9. Dell Streak (AKA Mini 5) is a smartphone/tablet hybrid from Dell on Android operating system #bizquiz #contest #india,228,12660,0,519,BlackBerry,Android,neutral
9225,DetectiveKrys94,Thu  28 Feb 2013 10:59:23 +0000,Twitter for BlackBerry??,0,@fxjinriic android?? Pake Handphone lo??,1029,7027,1,1332,BlackBerry,Android,neutral
9369,meerah_yabo,Thu  28 Feb 2013 11:02:02 +0000,Twitter for BlackBerry??,0,"I'm happy :D ""@Moyjo: Asshaaaa lil' Niece RT eerah_yabo: :p ""@meenah_faruq: OMG!My Android Tab jst got Stolen *rotfc *criesssss Oh Noooooo""""",1920,38010,10,196,BlackBerry,Android,neutral
9465,Erwin_bejokill,Thu  28 Feb 2013 11:03:17 +0000,Twitter for BlackBerry??,0,@seliseliadesta twitter for android:D .black pink,168,2390,0,168,BlackBerry,Android,neutral
9951,fachrialfarizky,Thu  28 Feb 2013 11:12:31 +0000,Twitter for BlackBerry??,0,@rstraa android?,950,7100,0,158,BlackBerry,Android,neutral
10080,Afeeqnzwan,Thu  28 Feb 2013 11:14:43 +0000,Twitter for BlackBerry??,0,So many typo when I'm using android. Damn.,510,25470,0,142,BlackBerry,Android,negative
10140,amelia_ifani,Thu  28 Feb 2013 11:15:49 +0000,Twitter for BlackBerry??,0,@putrifia1 ciehh twitter for android :P,248,3401,0,360,BlackBerry,Android,neutral
10294,TheKohlEyedGirl,Thu  28 Feb 2013 11:18:27 +0000,Twitter for BlackBerry??,0,I need an android phone.,1170,24592,16,320,BlackBerry,Android,positive
10308,mozzazayn_,Thu  28 Feb 2013 11:19:11 +0000,UberSocial for BlackBerry,0,@Pri_AMS jahhh android....,196,1448,0,907,BlackBerry,Android,neutral
10405,gaby_yummy,Thu  28 Feb 2013 11:21:09 +0000,Twitter for BlackBerry??,0,Twitpic !! I must download it on android,69,1565,0,248,BlackBerry,Android,neutral
10408,vonieangela,Thu  28 Feb 2013 11:21:07 +0000,Twitter for BlackBerry??,0,"Woww ikut dong RT""@Miicceellee: me#mine#Created with #PhotoShake for Android http://t.co/unb4OacqlE""",63,581,0,51,BlackBerry,Android,neutral
11108,atsenbako,Thu  28 Feb 2013 11:34:00 +0000,Twitter for BlackBerry??,0,"Smh ~""@Tha_ShyBoi: Android OS has fucked my senses up.... Can't even use the apple OS that well anymore :(""",556,46985,2,379,BlackBerry,Android,positive
11294,therealjesson,Thu  28 Feb 2013 11:37:24 +0000,Twitter for BlackBerry??,0,Idk what's with my android. Not sending me notifications for twitter ... All these mentions ughhh ://,161,18046,0,265,BlackBerry,Android,negative
11662,TiNkEr_BeLLe77,Thu  28 Feb 2013 11:43:17 +0000,Twitter for BlackBerry??,0,@AshTordiffe It *is* Android! #happydance :),46,7248,2,82,BlackBerry,Android,positive
12110,GadgetsKE,Thu  28 Feb 2013 11:51:39 +0000,Twitter for BlackBerry??,0,ANDROID TABLET PCs - YeahPad  eGLIDE  Ramos  Avator  Ainol  Suntab arriving soon. Prices will range from 15 000 to 18 000.,257,752,0,21,BlackBerry,Android,neutral
12169,avevaa,Thu  28 Feb 2013 11:52:21 +0000,UberSocial for BlackBerry,0,RT @andanprikisi: Via PicsArt #picsart #photography #android http://t.co/dw0FXQGd4x,354,4847,0,90,BlackBerry,Android,neutral
12305,ebimvp,Thu  28 Feb 2013 11:55:01 +0000,Twitter for BlackBerry??,0,I love android more than OS joor + i wish fortune was here God connect mi n my broda back i miss dis god of IT.,428,510,1,1865,BlackBerry,Android,positive
