,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic
22735,Dirks2point0,Fri  01 Mar 2013 19:06:31 +0000,Twitter for BlackBerry,0,@Y_Strahovski why didn't you get the new BlackBerry? It's awesome and way better than the iphone,31,154,0,128,BlackBerry,iOS_BB
22754,deathmanghous,Fri  01 Mar 2013 19:34:09 +0000,Twitter for BlackBerry,0,@handsomebudii no instagram on BlackBerry. Was using dads iphone 5,8,54,0,40,BlackBerry,iOS_BB
22833,AussieBerry,Fri  01 Mar 2013 22:15:33 +0000,Twitter for BlackBerry,0,It's all a little 007 isn't it? Did BlackBerry Secretly Beat Estimates and Steal iPhone Customers? http://t.co/8h60XNjxjR,1017,13419,38,291,BlackBerry,iOS_BB
22852,wdelves,Fri  01 Mar 2013 22:52:20 +0000,Twitter for BlackBerry,0,"""@Newfielaner: Did BlackBerry Secretly Beat Estimates and Steal iPhone Customers?: http://t.co/I97kg4bBN4"" Go BB10 Go!",37,94,0,190,BlackBerry,iOS_BB
22877,FrimleyR,Fri  01 Mar 2013 18:39:47 +0000,Twitter for BlackBerry??,0,Ppl moan about iPhone battery's  I had a blackberry and now ive got an iPhone.. iPhones are better.,971,9311,0,947,BlackBerry,iOS_BB
22882,Coughiee,Fri  01 Mar 2013 18:41:20 +0000,Twitter for BlackBerry??,0,"RT ""@JordonRuss: I have iPhone 5 should I switch to galaxy?!"" Naa slim  get a blackberry.",171,2249,1,264,BlackBerry,iOS_BB
22902,cjhall1996,Fri  01 Mar 2013 18:47:39 +0000,Twitter for BlackBerry??,0,Back to my Blackberry for now just waiting for my iPhone 5 from pops,179,3689,0,203,BlackBerry,iOS_BB
22939,kennydodson,Fri  01 Mar 2013 19:01:52 +0000,Twitter for BlackBerry??,0,Ready to switch back to team iphone after school... This blackberry is way to slow... Keyboards been cool tho,287,6228,0,162,BlackBerry,iOS_BB
22946,aimeeleighx,Fri  01 Mar 2013 19:03:52 +0000,Twitter for BlackBerry??,0,Someone come to a o2 shop with me and force me to buy a iphone. After nearly 4 years my blackberry needs to go.,81,1833,0,152,BlackBerry,iOS_BB
22957,Benfisc,Fri  01 Mar 2013 19:06:57 +0000,Twitter for BlackBerry??,0,I know #iPHONE people are jealous of me having brick breaker on my blackberry!,272,3018,1,214,BlackBerry,iOS_BB
22961,KarlBAcoustic,Fri  01 Mar 2013 19:07:48 +0000,Twitter for BlackBerry??,0,Only 8 months to go with this Blackberry piece of shite! #iphone5 #cantcomesoonenough,134,1311,0,84,BlackBerry,iOS_BB
22991,m6v33,Fri  01 Mar 2013 19:14:12 +0000,Twitter for BlackBerry??,0,Coveteousness - Iphone5s Samsung Galazy S3 BlackBerry Porsche and BlackBerry Z10. One person. You get question to answer from GOD,130,3013,0,376,BlackBerry,iOS_BB
23007,daniel_perez78,Fri  01 Mar 2013 19:17:43 +0000,Twitter for BlackBerry??,0,Since I have no iphone for a few weeks I've been using the blackberry. Add me on BBM - 331990D3 #bbm,496,5229,1,271,BlackBerry,iOS_BB
23032,Valeriaapp,Fri  01 Mar 2013 19:23:27 +0000,Twitter for BlackBerry??,0,Bye bye word blackberry..welcome word iphone:),210,4389,2,291,BlackBerry,iOS_BB
23034,BeloveDMboneni,Fri  01 Mar 2013 19:23:49 +0000,Twitter for BlackBerry??,0,"""@MsNicci_: My Blackberry .. IPhone &amp; Samsung ... MTN  Vodacom &amp; Cell C ... Lol""tjo so many?Give me the iPhone and you'll have the other 2 ???",106,7692,0,85,BlackBerry,iOS_BB
23037,PowerMyPresence,Fri  01 Mar 2013 19:24:30 +0000,Twitter for BlackBerry??,0,"Blackberry""@HungryEmarati: Dear iphone  a day without is like a year without rain.""",742,7090,0,601,BlackBerry,iOS_BB
23057,TPushpa,Fri  01 Mar 2013 19:31:01 +0000,Twitter for BlackBerry??,0,Cannot wait till my phone contract finishes so I can drop kick this piece of shit blackberry and get a Iphone!,333,5261,1,473,BlackBerry,iOS_BB
23065,AbdulAlmoree,Fri  01 Mar 2013 19:33:40 +0000,Twitter for BlackBerry??,0,iPhone and Blackberry to team up and make an iBerry.,1801,12202,2,257,BlackBerry,iOS_BB
23075,am_bobby,Fri  01 Mar 2013 19:35:01 +0000,Twitter for BlackBerry??,0,All blackberry phone available both d new&amp;used iphone4 4s n 5 samsung tablets Ps3 laptops all in stock..,1422,14108,3,796,BlackBerry,iOS_BB
23125,Jewii_Salk,Fri  01 Mar 2013 19:55:05 +0000,Twitter for BlackBerry??,0,Iphone of blackberry z10?,563,19977,1,496,BlackBerry,iOS_BB
23130,Osewuz_1,Fri  01 Mar 2013 19:56:51 +0000,Twitter for BlackBerry??,0,Iphone 5 or SIII pursuit....fuck blackberry,120,7227,1,137,BlackBerry,iOS_BB
23134,moll_mcderm,Fri  01 Mar 2013 19:57:38 +0000,Twitter for BlackBerry??,0,Can't believe I actually still have a blackberry #retro #fuckiphones #jokegetmeone #hashtagmania,434,11369,1,225,BlackBerry,iOS_BB
23135,JoeFennell_,Fri  01 Mar 2013 19:57:47 +0000,Twitter for BlackBerry??,0,Getting a iPhone 5 on Tuesday can't wait to get rid of this fucking Blackberry,349,9795,0,354,BlackBerry,iOS_BB
23138,beccaroark27,Fri  01 Mar 2013 19:58:28 +0000,Twitter for BlackBerry??,0,Ladies and gentleman I am on my way to get my iphone!!! Last tweet from the old blackberry #getreadyforemojis,357,1106,0,407,BlackBerry,iOS_BB
23145,sterli,Fri  01 Mar 2013 19:59:59 +0000,Twitter for BlackBerry??,0,No just in your dream ! RT @jagdude11: @BlackBerry does z10 have features like iPhone 5,269,7372,3,123,BlackBerry,iOS_BB
23151,Daniuuuuu,Fri  01 Mar 2013 20:01:40 +0000,Twitter for BlackBerry??,0,This blackberry is so annoying I seriously can't wait to get an iPhone or just any other phone but never a blackberry again..,471,368,0,425,BlackBerry,iOS_BB
23167,Cora_Mcphail,Fri  01 Mar 2013 20:04:51 +0000,Twitter for BlackBerry??,0,Do I get the new blackberry z10  or the Iphone 5? #decisionsdecisions,153,1179,0,146,BlackBerry,iOS_BB
23170,MickeyDonnelly7,Fri  01 Mar 2013 20:05:22 +0000,Twitter for BlackBerry??,0,The battery life of my Blackberry is absolute shocking #WantAnIphone,337,4081,0,393,BlackBerry,iOS_BB
23193,cynderoo,Fri  01 Mar 2013 20:09:55 +0000,Twitter for BlackBerry??,0,Looking at how my blackberry is set up after having a Iphone makes me LOL #looksShit,460,13021,2,800,BlackBerry,iOS_BB
23201,Rocketroxy1,Fri  01 Mar 2013 20:11:14 +0000,Twitter for BlackBerry??,0,On half an hour break with only my blackberry and can of coke to keep me company.... Times I wish I had a iphone right bout now,5316,13321,160,5366,BlackBerry,iOS_BB
23212,Blessing_Garcia,Fri  01 Mar 2013 20:13:47 +0000,Twitter for BlackBerry??,0,Blackberry's are so annoying  want an iPhone,403,7334,1,195,BlackBerry,iOS_BB
23224,katarinaxxo,Fri  01 Mar 2013 20:15:52 +0000,Twitter for BlackBerry??,0,I'm honestly ashamed to pull my blackberry out in public but I'm too broke for an iphone,330,8165,0,199,BlackBerry,iOS_BB
23225,tomsolomonactor,Fri  01 Mar 2013 20:16:11 +0000,Twitter for BlackBerry??,0,I do love my Blackberry. I've had one for 7 years  but I think I'm changing to iphone 5 on Wednesday! #decisions,206,810,1,240,BlackBerry,iOS_BB
23231,Latifa_YK,Fri  01 Mar 2013 20:17:39 +0000,Twitter for BlackBerry??,0,Iphone or blackberry?,129,3037,0,82,BlackBerry,iOS_BB
23239,Hafsa550,Fri  01 Mar 2013 20:20:05 +0000,Twitter for BlackBerry??,0,I hate my blackberry can't wait to get my iphone :D,386,1680,0,493,BlackBerry,iOS_BB
23249,Xamie_XtremE,Fri  01 Mar 2013 20:22:27 +0000,Twitter for BlackBerry??,0,"A' Alcatel  is good lmao ""@ify2sk: Lol or ""an"" blackberry RT @esqbeats:. @yarinya_: No sir get 'an' nokia""@ohaveez: Shud I get a iphone",736,5111,0,633,BlackBerry,iOS_BB
23262,aliceJLSx,Fri  01 Mar 2013 20:26:04 +0000,Twitter for BlackBerry??,0,@xTeamAriGrande_ iPhone or Blackberry?,2269,6557,4,2094,BlackBerry,iOS_BB
23263,xMyraKhanx,Fri  01 Mar 2013 20:26:06 +0000,Twitter for BlackBerry??,0,Twitters wayyy better on ur IPod/IPhone rather then your Blackberry!,1131,11711,1,1309,BlackBerry,iOS_BB
23265,iam_kamsy,Fri  01 Mar 2013 20:27:16 +0000,Twitter for BlackBerry??,0,Don't treat someone like an iPhone if they treat yu like a blackberry...,280,2994,0,499,BlackBerry,iOS_BB
23269,JozeRodders,Fri  01 Mar 2013 20:28:49 +0000,Twitter for BlackBerry??,0,I think I might finally be there! I may be the last one :) RIP blackberry... Now to decide between iPhone or Samsung. Views?,19,65,1,63,BlackBerry,iOS_BB
23278,laurennicolsonx,Fri  01 Mar 2013 20:30:59 +0000,Twitter for BlackBerry??,0,@DonnaBell_x haven't seen it  iPhone5 looks so prettty tho :) haha this will be my first and last blackberry! x,220,8932,0,357,BlackBerry,iOS_BB
23291,EdizzleG,Fri  01 Mar 2013 20:35:53 +0000,Twitter for BlackBerry??,0,@BenLawrence79 nah  yo shit on the iphone don't show up on my blackberry! #shitphone #imfunnyandiknowit,91,5012,0,531,BlackBerry,iOS_BB
23303,Le_abbot,Fri  01 Mar 2013 20:38:32 +0000,Twitter for BlackBerry??,0,Want a iphone but only just got this blackberry *sigh*,214,938,0,217,BlackBerry,iOS_BB
23305,Adamloftus95,Fri  01 Mar 2013 20:39:08 +0000,Twitter for BlackBerry??,0,@AbigailNicholds is this snap chat shizzle just for iphones and not for us blackberry wankers?,135,1406,0,202,BlackBerry,iOS_BB
23310,kathrobinson,Fri  01 Mar 2013 20:40:05 +0000,Twitter for BlackBerry??,0,Seconds away from making the big switch! Same #. Goodbye blackberry! #iphone,226,1320,2,158,BlackBerry,iOS_BB
23340,TheOpportunist_,Fri  01 Mar 2013 20:50:01 +0000,Twitter for BlackBerry??,0,"--&gt;""@PhiweMandondo: While tweeting with your blackberry.. RT @climmie9: I'm on my iPhone  bitches put their naked pictures on my iPad""",1455,29329,0,1610,BlackBerry,iOS_BB
23346,jocharlotte_,Fri  01 Mar 2013 20:50:54 +0000,Twitter for BlackBerry??,0,Typing on a blackberry is so weird when you've got used to an iphone.,515,20824,0,361,BlackBerry,iOS_BB
23361,cheryllrebecca,Fri  01 Mar 2013 20:55:07 +0000,Twitter for BlackBerry??,0,@olsxo still a blackberry man  getting iphone5 soon hopefully,179,482,0,87,BlackBerry,iOS_BB
23394,_iMS0FRESH,Fri  01 Mar 2013 21:03:00 +0000,Twitter for BlackBerry??,0,Blackberry / Iphone ???,279,15856,2,65,BlackBerry,iOS_BB
23400,LouhMusiq,Fri  01 Mar 2013 21:03:50 +0000,Twitter for BlackBerry??,0,@IdealRadioSacha @TheYoungPunx @IdealSecretary  #Twitter #Love thanQ for the Links u gave its made my Blackberry to hv gud rocking tunes,279,1810,2,1386,BlackBerry,iOS_BB
23435,RanyaFahad1,Fri  01 Mar 2013 21:12:39 +0000,Twitter for BlackBerry??,0,"""@BNOO_AMY: Blackberry needs instagram  and iPhone needs BBM.""",1067,18451,1,697,BlackBerry,iOS_BB
23448,lily_c_watts,Fri  01 Mar 2013 21:15:04 +0000,Twitter for BlackBerry??,0,I want an iphone idec if its the iphone 3 anything to get me off this fucking blackberry it shit!,485,7494,0,1486,BlackBerry,iOS_BB
23452,lovcrux,Fri  01 Mar 2013 21:15:42 +0000,Twitter for BlackBerry??,0,[X]nike []adidas []vans   [x]iphone []blackberry []samsung,202,4161,1,262,BlackBerry,iOS_BB
23456,nouf_alshaiq,Fri  01 Mar 2013 21:16:06 +0000,Twitter for BlackBerry??,0,Blackberry needs instagram  and iPhone needs BBM.,201,7602,2,81,BlackBerry,iOS_BB
23465,B_Price_,Fri  01 Mar 2013 21:18:18 +0000,Twitter for BlackBerry??,0,"""@liamdevlincasey: Just dropped my iPhone  the screen shattered and now I have a bloody thumb :("" Time to get the new Blackberry Z10.",16,48,0,72,BlackBerry,iOS_BB
23485,caitogrady,Fri  01 Mar 2013 21:29:52 +0000,Twitter for BlackBerry??,0,"""@worsleyac: i feel like gin and rum are like having and iphone and a blackberry... we all know what is what"" totally inaccurate statement",138,2227,4,289,BlackBerry,iOS_BB
23512,phoebemay11,Fri  01 Mar 2013 21:38:42 +0000,Twitter for BlackBerry??,0,So wish you could get all the aps on an iphone on a blackberry !!!,376,3381,0,864,BlackBerry,iOS_BB
23524,toxicdeldrew,Fri  01 Mar 2013 21:40:22 +0000,Twitter for BlackBerry??,0,......she has an iphone and a blackberry http://t.co/Nuqo0hpts7,1429,29240,0,142,BlackBerry,iOS_BB
23548,ashh_kas,Fri  01 Mar 2013 21:44:21 +0000,Twitter for BlackBerry??,0,peace out blackberry   hello iphone ???,81,2032,0,82,BlackBerry,iOS_BB
23549,remazkhayat,Fri  01 Mar 2013 21:44:37 +0000,Twitter for BlackBerry??,0,"""@Emi_Abdullah: Blackberry needs instagram  and iPhone needs BBM.""",583,11921,1,615,BlackBerry,iOS_BB
23563,rubaban,Fri  01 Mar 2013 21:46:41 +0000,Twitter for BlackBerry??,0,@bfanoo PSA 'And Now You Know' - iPhone Vs Blackberry  http://t.co/D7oYG2XEMA,147,2796,0,286,BlackBerry,iOS_BB
23578,B_REEZY95,Fri  01 Mar 2013 21:48:45 +0000,Twitter for BlackBerry??,0,@RebekahSargeant lmao remmeber I still have a blackberry -_-  I can't see iphone smilys:(  since in an uncle am I an UILF ;)?,239,11090,0,345,BlackBerry,iOS_BB
23586,_Loyaltyiskeyy,Fri  01 Mar 2013 21:50:54 +0000,Twitter for BlackBerry??,0,Wow my mom got a blackberry 10 nothing compared to my iphone &amp; berry lmaoo so madd,320,24936,0,75,BlackBerry,iOS_BB
23589,kingvanderbilt,Fri  01 Mar 2013 21:51:48 +0000,Twitter for BlackBerry??,0,Ok so am test drive the iphone 4S :D oh yes sweet!! Fuck a blackberry,360,20319,1,314,BlackBerry,iOS_BB
23591,charlotteserese,Fri  01 Mar 2013 21:52:06 +0000,Twitter for BlackBerry??,0,Need to get rid of this shitty blackberry and get myself an iphone #ootoot,128,649,0,128,BlackBerry,iOS_BB
23594,FiveStarRahim,Fri  01 Mar 2013 21:52:23 +0000,Twitter for BlackBerry??,0,Only use my Iphone for instagram only use my blackberry for BBM,150,199,0,151,BlackBerry,iOS_BB
23608,chantirose,Fri  01 Mar 2013 21:54:23 +0000,Twitter for BlackBerry??,0,Internet on my Blackberry sucks mad choade. Can't even check my work e-mail. Need to switch teams soon. Samsung Galaxy 3S or Iphone 5?,30,1412,0,86,BlackBerry,iOS_BB
23623,Prettii01,Fri  01 Mar 2013 21:57:24 +0000,Twitter for BlackBerry??,0,Who hav ah blackberry allyuh issa boss! N if allyun hav iphone or galaxy allyuh dred 2!!!! Dyaz it dun tlk lmao #phones #technology,33,378,0,260,BlackBerry,iOS_BB
23625,Catherinexo_,Fri  01 Mar 2013 21:57:43 +0000,Twitter for BlackBerry??,0,Never ever  ever buying a Blackberry again. #shouldbeteamiPhone,175,1232,6,111,BlackBerry,iOS_BB
23634,Joserobertobs_,Fri  01 Mar 2013 21:59:28 +0000,Twitter for BlackBerry??,0,?? #iPhone vs #Blackberry ? #iPhone.,30,402,0,30,BlackBerry,iOS_BB
23648,KellySixsmith,Fri  01 Mar 2013 22:03:02 +0000,Twitter for BlackBerry??,0,Hate how Owen got an iphone and I lost my BlackBerry Messenger buddy :(,766,13421,0,391,BlackBerry,iOS_BB
23665,freshfruits_djs,Fri  01 Mar 2013 22:06:54 +0000,Twitter for BlackBerry??,0,Switching between a blackberry and an iPhone for different people makes me feel like such a P.I.M.P,777,12837,13,320,BlackBerry,iOS_BB
23668,RhiannaSimone,Fri  01 Mar 2013 22:07:25 +0000,Twitter for BlackBerry??,0,The emojis for Iphone messages are so cool... Blackberry  you are shite.,185,6027,1,211,BlackBerry,iOS_BB
23674,mullarkey800,Fri  01 Mar 2013 22:09:43 +0000,Twitter for BlackBerry??,0,love that when my iphone dies I can turn to my blackberry and the other way round (although my blackberry is a piece of poo),291,4816,0,119,BlackBerry,iOS_BB
23717,Charley_Eves,Fri  01 Mar 2013 22:18:08 +0000,Twitter for BlackBerry??,0,Fed up of having a blackberry and everyone using enoji and all I see is black squares #stupidblackberry #needtheiphone5,144,5450,2,154,BlackBerry,iOS_BB
23721,opoka17,Fri  01 Mar 2013 22:18:40 +0000,Twitter for BlackBerry??,0,My IPHONE 8S causes me problems because it says I'm tweeting from a blackberry. #Deception,68,592,0,19,BlackBerry,iOS_BB
23724,itsamelia__,Fri  01 Mar 2013 22:19:33 +0000,Twitter for BlackBerry??,0,Its not even funny that I can get iPhone emotions on whattsapp for blackberry  but I can't get them on my iPod psh,1573,11598,5,1857,BlackBerry,iOS_BB
23743,_Karen_P,Fri  01 Mar 2013 22:22:46 +0000,Twitter for BlackBerry??,0,The only reason I wanted a Blackberry was for bbm  but now most people are getting iPhones  soo..,187,6746,1,735,BlackBerry,iOS_BB
23752,KrittenBailey,Fri  01 Mar 2013 22:24:35 +0000,Twitter for BlackBerry??,0,There's all my friends whipping out their iphones and playing subway surf. So I whip my blackberry out and play snake.,165,372,0,254,BlackBerry,iOS_BB
23753,Mooser_EsBee,Fri  01 Mar 2013 22:24:36 +0000,Twitter for BlackBerry??,0,Omgg!! Hell No  I'm Weary Of Blackberry As A Whole Talkless Of That Z10  Switching To IOs Soon :D @Thug_LaeF,598,28286,2,456,BlackBerry,iOS_BB
23754,marcgamit,Fri  01 Mar 2013 22:24:40 +0000,Twitter for BlackBerry??,0,why did I chose blackberry over iphone. I get mad every time I think about it,288,9334,0,189,BlackBerry,iOS_BB
23766,meganrouch,Fri  01 Mar 2013 22:27:32 +0000,Twitter for BlackBerry??,0,"""@georgepool1000: @meganrouch gay gay gay having a blackberry"" iphone wanker",792,14089,0,748,BlackBerry,iOS_BB
23790,TheDanHunt,Fri  01 Mar 2013 22:36:57 +0000,Twitter for BlackBerry??,0,My brother has an iPhone 5 now.... And I still have a Blackberry.. What is wrong with the world? :'(,280,2977,0,499,BlackBerry,iOS_BB
23800,lukebrooksmyboo,Fri  01 Mar 2013 22:38:48 +0000,Twitter for BlackBerry??,0,On my brothers old blackberry. Omg. So not used to not typing on a blackberry anymore. iPhones are so much better :),350,1825,1,355,BlackBerry,iOS_BB
23806,LydiaHeishman,Fri  01 Mar 2013 22:39:59 +0000,Twitter for BlackBerry??,0,This is my last tweet from the crappy blackberry #helloiphone,143,517,0,219,BlackBerry,iOS_BB
23846,allysonvv,Fri  01 Mar 2013 22:49:29 +0000,Twitter for BlackBerry??,0,Just switched my phones over.. Now I am sending texts from my blackberry and receiving them on my iphone.. Hmmm,208,1193,0,221,BlackBerry,iOS_BB
23858,BlackBerryQ10,Fri  01 Mar 2013 22:52:50 +0000,Twitter for BlackBerry??,0,"""@Bev_Muff: Now I'm TOTALLY confused...Samsung? Iphone5? Blackberry Q10?"" Can anyone help Bev out?",183,374,2,192,BlackBerry,iOS_BB
23860,g_chelseax,Fri  01 Mar 2013 22:53:02 +0000,Twitter for BlackBerry??,0,Am I doing the right thing getting an iphone5 and getting rid of my blackberry? HELP,174,2275,0,169,BlackBerry,iOS_BB
23866,_del_b0y,Fri  01 Mar 2013 22:54:04 +0000,Twitter for BlackBerry??,0,Yep  I'm the one who had an iPhone and then got a BlackBerry instead. Let's all laugh at Scarlett...,1479,43957,5,747,BlackBerry,iOS_BB
23892,St_Fosse,Fri  01 Mar 2013 23:00:16 +0000,Twitter for BlackBerry??,0,Blackberry you suck dick  work when I need you to god damn it  ill get a fucking iphone I swear to god. #Truestory,26,154,0,34,BlackBerry,iOS_BB
23902,kkaaiiccii,Fri  01 Mar 2013 23:03:00 +0000,Twitter for BlackBerry??,0,buhhhh bye team iphone :) hhhello blackberry bold! Missed you mucho :* :),284,5534,0,119,BlackBerry,iOS_BB
23916,NoraMetajx,Fri  01 Mar 2013 23:05:30 +0000,Twitter for BlackBerry??,0,Hardly ever go on my blackberry since I got my iphone Lol,265,1984,0,249,BlackBerry,iOS_BB
23925,Justin_Jwzz_,Fri  01 Mar 2013 23:07:21 +0000,Twitter for BlackBerry??,0,RT Blackberry Iphone,76,804,0,129,BlackBerry,iOS_BB
23932,VerityRamsay,Fri  01 Mar 2013 23:09:35 +0000,Twitter for BlackBerry??,0,Transferring from blackberry to iphone no one text/call me until tomorrow afternoon,238,2415,4,669,BlackBerry,iOS_BB
23935,emmbarbs,Fri  01 Mar 2013 23:11:30 +0000,Twitter for BlackBerry??,0,iPhone's have way cooler cases than blackberry's..,176,3815,0,199,BlackBerry,iOS_BB
23938,maatthill,Fri  01 Mar 2013 23:12:16 +0000,Twitter for BlackBerry??,0,Last week with my blackberry #iphone,151,2252,1,172,BlackBerry,iOS_BB
23953,Joe_Etherington,Fri  01 Mar 2013 23:16:17 +0000,Twitter for BlackBerry??,0,As soon as I get an iphone this blackberry is getting smashed up by a hammer  I can't stand it,307,5947,0,240,BlackBerry,iOS_BB
23970,ImTheBestestHoe,Fri  01 Mar 2013 23:20:58 +0000,Twitter for BlackBerry??,0,8year old brother has an iphone 5  13 year old brother&amp;both parents have iphone 4&amp; I got a shit Blackberry:'( !; fuck ya'll I got an ipad,147,796,0,153,BlackBerry,iOS_BB
23997,PWHambling,Fri  01 Mar 2013 23:27:40 +0000,Twitter for BlackBerry??,0,Hoping to be back on iPhone in a few days  sick to death of this blackberry not working properly!,624,17716,6,952,BlackBerry,iOS_BB
24013,AMOJ_Fanfics,Fri  01 Mar 2013 23:33:54 +0000,Twitter for BlackBerry??,0,(c) one and I don't know when she's gonna  but I will start writing either on my blackberry or iPhone :)x,13,16,0,7,BlackBerry,iOS_BB
24025,Lovatic_guyXD,Fri  01 Mar 2013 23:36:41 +0000,Twitter for BlackBerry??,0,Why is twitter not working on my iphone...got no choice but to use my crappy blackberry ugh!!,815,1850,0,603,BlackBerry,iOS_BB
27470,ItsSimplyZoe,Fri  01 Mar 2013 18:59:36 +0000,UberSocial for BlackBerry,0,But...??? RT @Leon_Payn: All the cool people are leaving blackberry...as from April if you don't have ios. I have news for you..,141,4199,1,121,BlackBerry,iOS_BB
27519,emceeque,Fri  01 Mar 2013 20:18:11 +0000,UberSocial for BlackBerry,0,Lol RT @ik_slick: RT @iPhoneTeam: BlackBerry Creative Director Alicia Keys tweets from iPhone  claims Twitter ... http://t.co/hGgfwvvCwr,322,24207,1,278,BlackBerry,iOS_BB
27537,PhiweMandondo,Fri  01 Mar 2013 20:44:44 +0000,UberSocial for BlackBerry,0,While tweeting with your blackberry.. RT @climmie9: I'm on my iPhone  bitches put their naked pictures on my iPad,947,24750,4,737,BlackBerry,iOS_BB
27548,iamSinawo,Fri  01 Mar 2013 21:03:14 +0000,UberSocial for BlackBerry,0,iPhone gets ma vote RT @xoxannabellhard: Can't decide wether I want a blackberry or an iPhone...hhhmmm?? This one is a toughy,62,501,0,93,BlackBerry,iOS_BB
27603,JoeMacsOlivia,Fri  01 Mar 2013 23:28:08 +0000,UberSocial for BlackBerry,0,Dear friends  look at what Telus sent me.  The time has come for a new phone. iphone or the new Blackberry? http://t.co/GHP2780ECN,242,74821,18,367,BlackBerry,iOS_BB
